,epoch,loss,loss_dpo,loss_llh
380,381.0,1.4007404e-07,1.3651886e-07,3.5551682e-09
381,382.0,1.3884969e-07,1.3549699e-07,3.3527046e-09
382,383.0,1.358338e-07,1.3240202e-07,3.4317758e-09
383,384.0,1.2813031e-07,1.2486022e-07,3.2700989e-09
384,385.0,1.238402e-07,1.207647e-07,3.0754956e-09
385,386.0,1.2232238e-07,1.19152666e-07,3.1697123e-09
386,387.0,1.187013e-07,1.15842944e-07,2.858361e-09
387,388.0,1.14808664e-07,1.1176235e-07,3.046318e-09
388,389.0,1.1388205e-07,1.11283995e-07,2.5980575e-09
389,390.0,1.0999014e-07,1.0734266e-07,2.6474816e-09
390,391.0,1.0626988e-07,1.0350516e-07,2.7647258e-09
391,392.0,1.05119675e-07,1.02313926e-07,2.8057454e-09
392,393.0,1.0024241e-07,9.785341e-08,2.3889999e-09
393,394.0,9.789908e-08,9.568223e-08,2.2168551e-09
394,395.0,9.582316e-08,9.32361e-08,2.5870537e-09
395,396.0,9.335242e-08,9.09319e-08,2.4205171e-09
396,397.0,9.00556e-08,8.7621366e-08,2.4342304e-09
397,398.0,8.730911e-08,8.503678e-08,2.272331e-09
398,399.0,8.534814e-08,8.32284e-08,2.1197368e-09
399,400.0,8.18836e-08,7.987013e-08,2.013473e-09
400,401.0,8.004534e-08,7.785952e-08,2.185818e-09
401,402.0,7.855292e-08,7.6569e-08,1.983924e-09
402,403.0,7.567598e-08,7.376457e-08,1.9114132e-09
403,404.0,7.431151e-08,7.2368636e-08,1.9428705e-09
404,405.0,7.1254625e-08,6.9496195e-08,1.75843e-09
405,406.0,7.0913735e-08,6.9126834e-08,1.7869032e-09
406,407.0,6.693022e-08,6.520033e-08,1.7298871e-09
407,408.0,6.707854e-08,6.538716e-08,1.6913752e-09
408,409.0,6.594133e-08,6.42764e-08,1.6649274e-09
409,410.0,6.243181e-08,6.075702e-08,1.6747901e-09
410,411.0,6.225107e-08,6.075746e-08,1.493614e-09
411,412.0,5.8643575e-08,5.708735e-08,1.5562255e-09
412,413.0,5.7891413e-08,5.6316996e-08,1.5744145e-09
413,414.0,5.6624106e-08,5.5110732e-08,1.5133769e-09
414,415.0,5.4853867e-08,5.3548735e-08,1.3051303e-09
415,416.0,5.3859992e-08,5.249649e-08,1.3635063e-09
416,417.0,5.159026e-08,5.0380137e-08,1.2101198e-09
417,418.0,5.0015878e-08,4.8703857e-08,1.3120214e-09
418,419.0,4.931242e-08,4.807725e-08,1.2351677e-09
419,420.0,4.7263445e-08,4.6164498e-08,1.0989475e-09
420,421.0,4.6720412e-08,4.5492627e-08,1.2277854e-09
421,422.0,4.522037e-08,4.400456e-08,1.2158098e-09
422,423.0,4.361311e-08,4.251441e-08,1.0986964e-09
423,424.0,4.199627e-08,4.0896705e-08,1.0995674e-09
424,425.0,4.1995165e-08,4.101847e-08,9.766935e-10
425,426.0,4.030955e-08,3.9341778e-08,9.677703e-10
426,427.0,3.910075e-08,3.810333e-08,9.974204e-10
427,428.0,3.934106e-08,3.8315868e-08,1.0251913e-09
428,429.0,3.7325567e-08,3.6383835e-08,9.417321e-10
429,430.0,3.6440216e-08,3.5551345e-08,8.888728e-10
430,431.0,3.4912183e-08,3.4055436e-08,8.567473e-10
431,432.0,3.4313253e-08,3.3480738e-08,8.325163e-10
432,433.0,3.2857812e-08,3.2079924e-08,7.778872e-10
433,434.0,3.2360482e-08,3.1587533e-08,7.729529e-10
434,435.0,3.1809158e-08,3.0927406e-08,8.8174995e-10
435,436.0,3.0533577e-08,2.970069e-08,8.3288815e-10
436,437.0,2.9731485e-08,2.8965593e-08,7.658921e-10
437,438.0,2.926321e-08,2.8475611e-08,7.8759965e-10
438,439.0,2.8287896e-08,2.763676e-08,6.511354e-10
439,440.0,2.7625596e-08,2.6921818e-08,7.0377826e-10
440,441.0,2.696086e-08,2.6283603e-08,6.772583e-10
441,442.0,2.5671259e-08,2.498027e-08,6.909878e-10
442,443.0,2.5509332e-08,2.4904837e-08,6.044942e-10
443,444.0,2.4205939e-08,2.3596415e-08,6.095221e-10
444,445.0,2.3842732e-08,2.3185777e-08,6.569545e-10
445,446.0,2.3590013e-08,2.3053952e-08,5.3606214e-10
446,447.0,2.2719147e-08,2.2153166e-08,5.659823e-10
447,448.0,2.2212802e-08,2.16226e-08,5.902018e-10
448,449.0,2.1330552e-08,2.0779055e-08,5.514958e-10
449,450.0,2.0985864e-08,2.0442846e-08,5.4301696e-10
450,451.0,2.0242734e-08,1.97388e-08,5.039316e-10
451,452.0,2.0056955e-08,1.9586752e-08,4.7020404e-10
452,453.0,1.9225503e-08,1.8742892e-08,4.8261206e-10
453,454.0,1.9550122e-08,1.9135207e-08,4.1491496e-10
454,455.0,1.8445041e-08,1.796559e-08,4.7945176e-10
455,456.0,1.7911967e-08,1.749294e-08,4.1902573e-10
456,457.0,1.6956736e-08,1.6498928e-08,4.5780713e-10
